iter	Passed	Remaining
0	1	137
1	2	117
2	4	132
3	5	133
4	6	128
5	7	119
6	8	117
7	9	114
8	11	115
9	12	113
10	14	113
11	15	113
12	16	110
13	17	107
14	18	105
15	19	104
16	21	103
17	22	101
18	23	99
19	24	97
20	25	95
21	26	94
22	27	93
23	29	92
24	32	96
25	33	94
26	34	93
27	35	90
28	36	89
29	37	88
30	38	86
31	40	85
32	41	83
33	42	83
34	44	82
35	45	80
36	46	78
37	47	76
38	47	74
39	48	73
40	49	71
41	49	68
42	50	67
43	51	66
44	52	64
45	53	62
46	54	61
47	55	60
48	56	59
49	57	57
50	58	56
51	59	54
52	60	53
53	61	51
54	61	50
55	62	48
56	63	47
57	63	46
58	64	44
59	66	44
60	67	43
61	68	41
62	69	40
63	70	39
64	71	38
65	72	37
66	73	36
67	74	34
68	75	33
69	75	32
70	76	31
71	78	30
72	79	29
73	80	28
74	81	27
75	81	25
76	82	24
77	83	23
78	84	22
79	85	21
80	85	20
81	86	19
82	87	17
83	88	16
84	89	15
85	90	14
86	91	13
87	92	12
88	94	11
89	95	10
90	95	9
91	96	8
92	97	7
93	98	6
94	99	5
95	100	4
96	101	3
97	102	2
98	103	1
99	104	0
